S.no.,IPL Team,Player_name,Birthplace,Census_info,population,class,Census_url,State,Birth_year,Major contribution (ORIG),Major_contribution,Number_of_ODIs_played,Player_url,Latitude (ORIG),Longitude (ORIG),Latitude,Longitude,Player_image
88,Rajasthan Royals Squad,Mayank Markande,"Bathinda, Punjab","Bathinda (M Cl) [PB, Population: 217256, Class - I] ","217,256",Class - I,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"November 11, 1997",,,,https://www.espncricinfo.com/india/content/player/1081442.html,,,,,
89,Rajasthan Royals Squad,Riyan Parag,"Guwahati, Assam","Guwahati UA [ASM, Population: 818809, Class - I] 
","818,809",Class - I,https://censusindia.gov.in/towns/asm_towns.pdf,Assam,"November 10, 2001",,,,https://www.espncricinfo.com/india/content/player/1079434.html,,,,,
90,Rajasthan Royals Squad,Ankit Singh Rajpoot,Kanpur,"Kanpur UA [UP, Population: 2715555, Class - I]","2,715,555",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"December 4, 1993",,,,https://www.espncricinfo.com/india/content/player/591650.html,,,,,
91,Rajasthan Royals Squad,Sanju Viswanath Samson,"Pulluvila, Vizhinjam, Trivandrum","Thiruvananthapuram UA [ KER, Population: 889635, Class - I ]","889,635",Class - I,https://censusindia.gov.in/towns/ker_towns.pdf,Kerala,"November 11, 1994",,,,https://www.espncricinfo.com/india/content/player/425943.html,,,,,
92,Rajasthan Royals Squad,Shashank Singh,,,,,,,"November 21, 1991",,,,https://www.espncricinfo.com/india/content/player/377534.html,,,,,
93,Rajasthan Royals Squad,Rahul Tewatia,"Sihi, Haryana","Faridabad (M Corp.) [HAR, Population: 1055938, Class - I] ","1,055,938",Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"May 20, 1993",,,,https://www.espncricinfo.com/india/content/player/423838.html,,,,,
94,Rajasthan Royals Squad,Jaydev Dipakbhai Unadkat,Porbandar,"Porbandar UA [ GUJ, Population: 197382, Class - I ] ","197,382",Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"October 18, 1991",,,,https://www.espncricinfo.com/india/content/player/390484.html,,,,,
95,Rajasthan Royals Squad,Robin Venu Uthappa,"Coorg, Karnataka","Madikeri (TMC) [ KRN, Population: 32496, Class - III ] ","32,496",Class - III,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"November 11, 1985",,,,https://www.espncricinfo.com/india/content/player/35582.html,,,,,
96,Rajasthan Royals Squad,Manan Vohra,"Chandigarh, Punjab","Chandigarh (M Corp.) [CHD, Population: 808515, Class - I] ","808,515",Class - I,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"July 18, 1993",,,,https://www.espncricinfo.com/india/content/player/532856.html,,,,,
97,Kings XI Punjab,Kannaur Lokesh Rahul,"Bangalore, Karnataka","Bangalore UA [ KRN, Population: 5701446, Class - I ] ","5,701,446",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"April 18, 1992",,,,https://www.espncricinfo.com/india/content/player/422108.html,,,,,
98,Kings XI Punjab,Mayank Anurag Agarwal,"Bangalore, Karnataka","Bangalore UA [ KRN, Population: 5701446, Class - I ] ","5,701,446",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"February 16, 1991",,,,https://www.espncricinfo.com/india/content/player/398438.html,,,,,
99,Kings XI Punjab,Arshdeep Singh,"Guna, Madhya Pradesh","Guna (M) [ MP, Population: 137175, Class - I ] ","137,175",Class - I,https://censusindia.gov.in/towns/mp_towns.pdf,Madhya Pradesh,"February 5, 1999",,,,https://www.espncricinfo.com/india/content/player/1125976.html,,,,,
100,Kings XI Punjab,Murugan Ashwin,"Chennai, Tamil Nadu","Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ] ","6,560,242",Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"September 8, 1990",,,,https://www.espncricinfo.com/india/content/player/528067.html,,,,,
101,Kings XI Punjab,Krishnappa Gowtham,"Bangalore, Karnataka","Bangalore UA [ KRN, Population: 5701446, Class - I ] ","5,701,446",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"October 20, 1988",,,,https://www.espncricinfo.com/india/content/player/424377.html,,,,,
102,Kings XI Punjab,Harpreet Brar,"Moga, Punjab","Moga UA [PB, Population: 135279, Class - I] ","135,279",Class - I,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"September 16, 1995",,,,https://www.espncricinfo.com/india/content/player/1168641.html,,,,,
103,Kings XI Punjab,Deepak Jagbir Hooda,Rohtak,"Rohtak UA [HAR, Population: 294577, Class - I]","294,577",Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"April 19, 1995",,,,https://www.espncricinfo.com/india/content/player/497121.html,,,,,
104,Kings XI Punjab,Sarfaraz Naushad Khan,Mumbai,"Greater Mumbai UA (Distts 21,22 & 23) [ MAH, Population: 16434386, Class - I ]","16,434,386",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"October 22, 1997",,,,https://www.espncricinfo.com/india/content/player/642525.html,,,,,
105,Kings XI Punjab,Mandeep Singh,"Jalandhar, Punjab","Jalandhar Cantt. (CB) [PB, Population: 40531, Class - III] ","40,531",Class - III,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"December 18, 1991,",,,,https://www.espncricinfo.com/india/content/player/398506.html,,,,,
106,Kings XI Punjab,Mohammed Shami Ahmed,"Amroha, Uttar Pradesh","Amroha (MB) [UP, Population: 165129, Class - I] ","165,129",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"September 3, 1990",,,,https://www.espncricinfo.com/india/content/player/481896.html,,,,,
107,Kings XI Punjab,Karun Kaladharan Nair,"Jodhpur, Rajasthan","Jodhpur UA [RAJ, Population: 860818, Class - I]","860,818",Class - I,https://censusindia.gov.in/towns/raj_towns.pdf,Rajasthan,"December 6, 1991",,,,https://www.espncricinfo.com/india/content/player/398439.html,,,,,
108,Kings XI Punjab,Darshan Girish Nalkande,"Wardha, Maharashtra","Wardha (M Cl) [ MAH, Population: 111118, Class - I ] ","111,118",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"October 4, 1998",,,,https://www.espncricinfo.com/india/content/player/1111917.html,,,,,
109,Kings XI Punjab,Ishan Chandranath Porel,"Hooghly, Bengal",,,,,,"September 5, 1998",,,,https://www.espncricinfo.com/india/content/player/967603.html,,,,,
110,Kings XI Punjab,Ravi Bishnoi,"Jodhpur, Rajasthan","Jodhpur UA [RAJ, Population: 860818, Class - I]","860,818",Class - I,https://censusindia.gov.in/towns/raj_towns.pdf,Rajasthan,"September 5, 2000",,,,https://www.espncricinfo.com/india/content/player/1175441.html,,,,,
111,Kings XI Punjab,Prab Simran Singh,,,,,,,"August 10, 2000",,,,https://www.espncricinfo.com/india/content/player/1161024.html,,,,,
112,Kings XI Punjab,Jagadeesha Suchith,Mysore,"Mysore UA [ KRN, Population: 799228, Class - I ] ","799,228",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"January 16, 1994",,,,https://www.espncricinfo.com/india/content/player/527663.html,,,,,
113,Kings XI Punjab,Tajinder Singh Dhillon,"Dholpur, Rajasthan","Dhaulpur UA [RAJ, Population: 97795, Class - II] ","97,795",Class - II,https://censusindia.gov.in/towns/raj_towns.pdf,Rajasthan,"May 25, 1992",,,,https://www.espncricinfo.com/india/content/player/1079860.html,,,,,
114,Royal Challengers Bangalore,Virat Kohli,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I] ","12,877,470",Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"November 5, 1988",,,,https://www.espncricinfo.com/india/content/player/253802.html,,,,,
115,Royal Challengers Bangalore,Yuzvendra Singh Chahal,"Jind, Haryana","Jind (M Cl ) [HAR, Population: 135855, Class - I] ","135,855",Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"July 23, 1990",,,,https://www.espncricinfo.com/india/content/player/430246.html,,,,,
116,Royal Challengers Bangalore,Pavan Uday Deshpande,"Dharwad, Karnataka","Hubli-Dharwad (M Corp.) [ KRN, Population: 786195, Class - I ] ","786,195",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"September 16, 1989",,,,https://www.espncricinfo.com/india/content/player/422104.html,,,,,
117,Royal Challengers Bangalore,Shivam Dube,Mumbai,"Greater Mumbai UA (Distts 21,22 & 23) [ MAH, Population: 16434386, Class - I ]","16,434,386",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"June 26, 1993",,,,https://www.espncricinfo.com/india/content/player/714451.html,,,,,
118,Royal Challengers Bangalore,Gurkeerat Rupinder Singh,"Muktsar, Punjab","Muktsar (M Cl) [PB, Population: 83655, Class - II]","83,655",Class - II,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"June 29, 1990",,,,https://www.espncricinfo.com/india/content/player/537124.html,,,,,
119,Royal Challengers Bangalore,Mohammed Siraj,Hyderabad,"Hyderabad UA (Distts 04,05 & 06) [ AP, Population: 5742036, Class - I ] ","5,742,036",Class - I,https://censusindia.gov.in/towns/ap_towns.pdf,Andhra Pradesh,"March 13, 1994",,,,https://www.espncricinfo.com/india/content/player/940973.html,,,,,
120,Royal Challengers Bangalore,Pawan Negi,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I] ","12,877,470",Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"January 6, 1993",,,,https://www.espncricinfo.com/india/content/player/530773.html,,,,,
121,Royal Challengers Bangalore,Devdutt Padikkal,"Edapal, Kerala","Malappuram UA [ KER, Population: 170409, Class - I ] 
","170,409",Class - I,https://censusindia.gov.in/towns/ker_towns.pdf,Kerala,"July 7, 2000",,,,https://www.espncricinfo.com/india/content/player/1119026.html,,,,,
122,Royal Challengers Bangalore,Parthiv Ajay Patel,"Ahmedabad, Gujarat","Ahmadabad UA (Distts 06 & 07) [ GUJ, Population: 4525013, Class - I ] ","4,525,013",Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"March 9, 1985",,,,https://www.espncricinfo.com/india/content/player/32242.html,,,,,
123,Royal Challengers Bangalore,Shahbaz Ahmed,"Mewat, Haryana","Nuh (MC) [HAR, Population: 11039, Class - IV] ","11,039",Class - IV,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"December 12, 1994",,,,https://www.espncricinfo.com/india/content/player/1159711.html,,,,,
124,Royal Challengers Bangalore,Navdeep Amarjeet Saini,"Karnal, Haryana","Karnal UA [HAR, Population: 221236, Class - I] ","221,236",Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"November 23, 1992",,,,https://www.espncricinfo.com/india/content/player/700167.html,,,,,
125,Royal Challengers Bangalore,Washington Sundar,"Chennai, Tamil Nadu","Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ] ","6,560,242",Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"October 5, 1999",,,,https://www.espncricinfo.com/india/content/player/719715.html,,,,,
126,Royal Challengers Bangalore,Umeshkumar Tilak Yadav,"Nagpur, Maharashtra","Nagpur UA [ MAH, Population: 2129500, Class - I ]","2,129,500",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"October 25, 1987",,,,https://www.espncricinfo.com/india/content/player/376116.html,,,,,
