S.no.,IPL Team,Player_name,Birthplace,Census_info,population,class,Census_url,State,Birth_year,Major contribution (ORIG),Major_contribution,Number_of_ODIs_played,Player_url,Latitude (ORIG),Longitude (ORIG),Latitude,Longitude,Player_image
60,Mumbai Indians,Jayant Yadav,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I] ","12,877,470",Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"January 22, 1990",,,,https://www.espncricinfo.com/india/content/player/447587.html,,,,,
61,Mumbai Indians,Suryakumar Ashok Yadav,"Mumbai, Maharashtra","Greater Mumbai UA (Distts 21,22 & 23) [ MAH, Population: 16434386, Class - I ]","16,434,386",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"September 14, 1990",,,,https://www.espncricinfo.com/india/content/player/446507.html,,,,,
62,Mumbai Indians,Yuvraj Singh,Chandigarh,"Chandigarh (M Corp.) [CHD, Population: 808515, Class - I] ","808,515",Class - I,https://censusindia.gov.in/towns/chd_towns.pdf,Chandigarh,"December 12, 1981",,,,https://www.espncricinfo.com/india/content/player/36084.html,,,,,
63,Sunrisers Hyderabad,Abdul Samad Farooq,"Kala Kot, Jammu & Kashmir","Reasi (NAC) [J&K, Population: 7973, Class - V] ","7,973",Class - V,https://censusindia.gov.in/towns/jk_towns.pdf,Jammu & Kashmir,"October 28, 2001",,,,https://www.espncricinfo.com/india/content/player/1175485.html,,,,,
64,Sunrisers Hyderabad,Abhishek Sharma,"Amritsar, Punjab","Amritsar Cantt. (CB) [PB, Population: 12162, Class - IV]","12,162",Class - IV,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"September 4, 2000",,,,https://www.espncricinfo.com/india/content/player/1070183.html,,,,,
65,Sunrisers Hyderabad,Khaleel Khursheed Ahmed,"Tonk, Rajasthan","Tonk (M CI) [RAJ, Population: 135689, Class - I]","135,689",Class - I,https://censusindia.gov.in/towns/raj_towns.pdf,Rajasthan,"December 5, 1997",,,,https://www.espncricinfo.com/india/content/player/942645.html,,,,,
66,Sunrisers Hyderabad,Basil Thampi,"Ernakulam, Kerala","Kochi UA [ KER, Population: 1355972, Class - I ] ","1,355,972",Class - I,https://censusindia.gov.in/towns/ker_towns.pdf,Kerala,"September 11, 1993",,,,https://www.espncricinfo.com/india/content/player/732291.html,,,,,
67,Sunrisers Hyderabad,Priyam K Garg,"Meerut, Uttar Pradesh","Meerut UA [UP, Population: 1161716, Class - I] ","1,161,716",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"November 30, 2000",,,,https://www.espncricinfo.com/india/content/player/1070180.html,,,,,
68,Sunrisers Hyderabad,Shreevats Pratyush Goswami,"Calcutta (now Kolkata), Bengal","Kolkata UA (Distts 10,11,12,16,17 & 18)
 [WB, Population: 13205697, Class - I] 
","13,205,697",Class - I,https://censusindia.gov.in/towns/wb_towns.pdf,West Bengal,"May 18, 1989",,,,https://www.espncricinfo.com/india/content/player/302579.html,,,,,
69,Sunrisers Hyderabad,Siddarth Kaul,"Pathankot, Punjab","Pathankot UA [PB, Population: 168485, Class - I] ","168,485",Class - I,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"May 19, 1990",,,,https://www.espncricinfo.com/india/content/player/326017.html,,,,,
70,Sunrisers Hyderabad,Bhuvneshwar Kumar Singh,"Meerut, Uttar Pradesh","Meerut UA [UP, Population: 1161716, Class - I] ","1,161,716",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"February 5, 1990",,,,https://www.espncricinfo.com/india/content/player/326016.html,,,,,
71,Sunrisers Hyderabad,Shahbaz Nadeem,"Bokaro, Bihar","Bokaro Steel City UA [JHA, Population: 497780, Class - I] ","497,780",Class - I,https://censusindia.gov.in/towns/jha_towns.pdf,Jharkhand,"August 12, 1989",,,,https://www.espncricinfo.com/india/content/player/31872.html,,,,,
72,Sunrisers Hyderabad,Thangarasu Natarajan,Salem,"Salem UA [ TN, Population: 751438, Class - I ] ","751,438",Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil nadu,"May 27, 1991",,,,https://www.espncricinfo.com/india/content/player/802575.html,,,,,
73,Sunrisers Hyderabad,Manish Krishnanand Pandey,"Nainital, Uttaranchal","Naintal UA [UTT, Population: 39911, Class - III]","39,911",Class - III,https://censusindia.gov.in/towns/utt_towns.pdf,Uttaranchal,"September 10, 1989",,,,https://www.espncricinfo.com/india/content/player/290630.html,,,,,
