S.no.,Name of the Player,Birthplace,Census_info,population,class,Census_url,State,Birth year,Major contribution (ORIG),Major contribution,Number of ODI-s played,CricInfo webpage URL for the player,Latitude,Longitude
11,Bhuvneshwar Kumar,Meerut,"Meerut UA [UP, Population: 1161716, Class - I]","1,161,716",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"February 5, 1990",Bowler,Bowler,114,https://www.espncricinfo.com/india/content/player/326016.html,28.988948,77.706754
12,Mohammed Shami,Amroha," Amroha (MB) [UP, Population: 165129, Class - I] ","165,129",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"September 3, 1990",Bowler,Bowler,77,https://www.espncricinfo.com/india/content/player/481896.html,28.91087,78.468002
13,Jasprit Bumrah,Ahmedabad,"Ahmadabad UA (Distts 06 & 07) [ GUJ, Population: 4525013, Class - I ]","4,525,013",Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"December 6, 1993",Bowler,Bowler,64,https://www.espncricinfo.com/india/content/player/625383.html,23.023607,72.572048
14,Kuldeep Yadav,Kanpur,"Kanpur UA [UP, Population: 2715555, Class - I]","2,715,555",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"December 14, 1994",Bowler,Bowler,60,https://www.espncricinfo.com/india/content/player/559235.html,26.454824,80.33084
15,Yuzvendra Chahal,Jind,"Jind (M Cl ) [HAR, Population: 135855, Class - I] ","135,855",Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"July 23, 1990",Bowler,Bowler,52,https://www.espncricinfo.com/india/content/player/430246.html,29.333272,76.298758
16,Ravichandran Ashwin,Chennai,"Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ] ","6,560,242",Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"September 17, 1986",Bowling allrounder,Allrounder,111,https://www.espncricinfo.com/india/content/player/26421.html,13.084852,80.270889
17,Stuart Binny,Bangalore,"Bangalore UA [ KRN, Population: 5701446, Class - I ] ","5,701,446",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"June 3, 1984",Allrounder,Allrounder,14,https://www.espncricinfo.com/india/content/player/27223.html,12.971764,77.594562
18,Axar Patel,Anand,"Anand UA [ GUJ, Population: 218486, Class - I ] ","218,486",Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"January 20, 1994",Bowling allrounder,Allrounder,38,https://www.espncricinfo.com/india/content/player/554691.html,22.566891,72.928527
19,Ajinkya Rahane,"Ashwi-KD, Ahmednagar District","Ahmadnagar UA [ MAH, Population: 347549, Class - I ]","347,549",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"June 6, 1988",Top-order batsman,Batsman,90,https://www.espncricinfo.com/india/content/player/277916.html,19.514904,74.373144
20,Suresh Raina,Muradnagar,"Muradnagar (MB) [UP, Population: 74151, Class - II]","74,151",Class - II,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"November 27, 1986",Middle-order batsman,Batsman,226,https://www.espncricinfo.com/india/content/player/33335.html,28.770611,77.508486
21,Ambati Rayudu,Guntur,"Guntur (M Corp.) [ AP, Population: 514461, Class - I ] ","514,461",Class - I,https://censusindia.gov.in/towns/ap_towns.pdf,Andhra Pradesh,"September 23, 1985",Middle-order batsman,Batsman,55,https://www.espncricinfo.com/india/content/player/33141.html,16.308462,80.436196
22,Mohit Sharma,"Ballabhgarh, Faridabad District","Faridabad (M Corp.) [HAR, Population: 1055938, Class - I] ","1,055,938",Class - I,https://censusindia.gov.in/towns/har_towns.pdf,Haryana,"September 18, 1988",Bowler,Bowler,26,https://www.espncricinfo.com/india/content/player/537119.html,28.342987,77.319873
23,Umesh Yadav,Nagpur,"Nagpur UA [ MAH, Population: 2129500, Class - I ] ","2,129,500",Class - I,https://censusindia.gov.in/towns/mah_towns.pdf,Maharashtra,"October 25, 1987",Bowler,Bowler,75,https://www.espncricinfo.com/india/content/player/376116.html,21.147718,79.088154
24,Ishant Sharma,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I]","12,877,470",Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"September 2, 1988",Bowler,Bowler,80,https://www.espncricinfo.com/india/content/player/236779.html,28.664346,77.090888
25,Yuvraj Singh,Chandigarh,"Chandigarh (M Corp.) [CHD, Population: 808515, Class - I] ","808,515",Class - I,https://censusindia.gov.in/towns/chd_towns.pdf,Chandigarh,"December 12, 1981",Middle-order batsman,Batsman,304,https://www.espncricinfo.com/india/content/player/36084.html,30.736542,76.779758
26,Manish Pandey,"Nainital, Uttaranchal","Naintal UA [UTT, Population: 39911, Class - III]","39,911",Class - III,https://censusindia.gov.in/towns/utt_towns.pdf,Uttarakhand,"September 10, 1989",Top-order batsman,Batsman,26,https://www.espncricinfo.com/india/content/player/290630.html,29.392201,79.454544
27,Amit Mishra,Delhi,"Delhi U.A [DEL, Population: 12877470, Class - I]","12,877,470",Class - I,https://censusindia.gov.in/towns/del_towns.pdf,Delhi,"November 24, 1982",Bowler,Bowler,36,https://www.espncricinfo.com/india/content/player/31107.html,28.664346,77.090888
28,Irfan Pathan,Baroda,"Vadodara UA [ GUJ, Population: 1491045, Class - I ]","1,491,045",Class - I,https://censusindia.gov.in/towns/guj_towns.pdf,Gujarat,"October 27, 1984",Allrounder,Allrounder,120,https://www.espncricinfo.com/india/content/player/32685.html,22.310014,73.180875
29,Murali Vijay,Chennai,"Chennai UA (Distts 01,02 & 03) [ TN, Population: 6560242, Class - I ]","6,560,242",Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil Nadu,"April 1, 1984",Opening batsman,Batsman,17,https://www.espncricinfo.com/india/content/player/237095.html,13.082511,80.270546
30,Vinay Kumar,Davanagere,"Davanagere (CMC) [ KRN, Population: 364523, Class - I ]","364,523",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"February 12, 1984",Bowler,Bowler,31,https://www.espncricinfo.com/india/content/player/35731.html,14.465071,75.922959
